Relatório dos tipos de ordenação:



--------------- Bubblesort ---------------

500: 0.000393
1000: 0.001425
1500: 0.007955
2000: 0.015581
2500: 0.024747
3000: 0.036718
3500: 0.051147
4000: 0.061989
4500: 0.088326
5000: 0.114947

--------------- Insertionsort ---------------

500: 0.000661
1000: 0.002767
1500: 0.006098
2000: 0.010790
2500: 0.016782
3000: 0.024213
3500: 0.032923
4000: 0.042630
4500: 0.046298
5000: 0.066984

--------------- Selectionsort ---------------

500: 0.000408
1000: 0.001512
1500: 0.003287
2000: 0.005934
2500: 0.009133
3000: 0.013313
3500: 0.017822
4000: 0.023336
4500: 0.029525
5000: 0.036040

--------------- Mergesort ---------------

500: 0.000102
1000: 0.000236
1500: 0.000380
2000: 0.000472
2500: 0.000521
3000: 0.000647
3500: 0.000862
4000: 0.001120
4500: 0.001256
5000: 0.001482

--------------- Quicksort ---------------

500: 0.000053
1000: 0.000094
1500: 0.000119
2000: 0.000285
2500: 0.000334
3000: 0.000311
3500: 0.000364
4000: 0.000489
4500: 0.000503
5000: 0.000577

--------------- Heapsort ---------------

500: 0.000168
1000: 0.000311
1500: 0.000578
2000: 0.000661
2500: 0.000874
3000: 0.001218
3500: 0.001346
4000: 0.001493
4500: 0.001821
5000: 0.001959
